STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,DEU,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2007,2.889117
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,DEU,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2021,3.91
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,DEU,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2020,-4.131914
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,DEU,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2019,0.977735
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,DEU,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2018,1.135696
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,DEU,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2017,2.797907
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,DEU,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2016,2.222222
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2015,0.885668
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2014,-0.001388
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2013,-1.818025
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2012,-3.125239
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2011,0.695463
