FREQ,REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
M,DE,628,2022-06,124.572185
M,DE,628,2022-07,125.139454
M,DE,628,2022-08,125.593268
M,DE,628,2022-09,127.862343
M,DE,628,2022-10,128.769973
M,DE,628,2022-11,128.99688
M,DE,628,2022-12,128.429611
M,DE,628,2023-01,129.677602
M,DE,628,2023-02,130.698686
M,DE,628,2023-03,131.719769
M,DE,628,2023-04,132.287038
M,DE,628,2023-05,132.173584
M,DE,628,2023-06,132.513945
M,DE,628,2023-07,132.854307
M,DE,628,2023-08,133.308121
M,DE,628,2023-09,133.648483
M,DE,628,2023-10,133.648483
M,DE,628,2023-11,133.081214
M,DE,628,2023-12,133.194668
M,DE,628,2024-01,133.421575
M,DE,628,2024-02,133.988844
M,DE,628,2024-03,134.556112
M,DE,628,2024-04,135.236835
M,DE,628,2024-05,135.350288
M,DE,628,2024-06,135.463742
M,DE,628,2024-07,135.917557
M,DE,628,2024-08,135.804103
M,DE,628,2024-09,135.804103
M,DE,628,2024-10,136.371372
M,DE,628,2024-11,136.031011
M,DE,628,2024-12,136.711733
M,DE,628,2025-01,136.484826
M,DE,628,2025-02,137.052094
M,DE,628,2025-03,137.505909
M,DE,628,2025-04,138.073178
M,DE,628,2025-05,138.186631
M,DE,628,2025-06,138.186631
M,DE,628,2025-07,138.640446
M,DE,628,2025-08,138.7539
M,DE,628,2025-09,139.094261
M,DE,628,2025-10,139.548076
M,DE,628,2025-11,139.207715
M,DE,628,2025-12,139.207715
M,CA,628,2007-01,93.932456
M,CA,628,2007-02,94.619347
M,CA,628,2007-03,95.392101
M,CA,628,2007-04,95.821408
M,CA,628,2007-05,96.250716
M,CA,628,2007-06,96.078993
M,CA,628,2007-07,96.164854
M,CA,628,2007-08,95.90727
M,CA,628,2007-09,96.078993
M,CA,628,2007-10,95.821408
M,CA,628,2007-11,96.078993
M,CA,628,2007-12,96.164854
M,CA,628,2008-01,95.993131
M,CA,628,2008-02,96.336577
M,CA,628,2008-03,96.680023
M,CA,628,2008-04,97.452776
M,CA,628,2008-05,98.397252
M,CA,628,2008-06,99.084144
M,CA,628,2008-07,99.42759
M,CA,628,2008-08,99.255867
M,CA,628,2008-09,99.341729
M,CA,628,2008-10,98.311391
M,CA,628,2008-11,97.967945
M,CA,628,2008-12,97.281053
M,CA,628,2009-01,97.023469
M,CA,628,2009-02,97.710361
M,CA,628,2009-03,97.882084
M,CA,628,2009-04,97.796222
M,CA,628,2009-05,98.483114
M,CA,628,2009-06,98.82656
M,CA,628,2009-07,98.483114
M,CA,628,2009-08,98.483114
M,CA,628,2009-09,98.483114
M,CA,628,2009-10,98.397252
M,CA,628,2009-11,98.912421
M,CA,628,2009-12,98.568975
M,CA,628,2010-01,98.82656
M,CA,628,2010-02,99.255867
M,CA,628,2010-03,99.255867
M,CA,628,2010-04,99.599313
M,CA,628,2010-05,99.856898
M,CA,628,2010-06,99.771036
M,CA,628,2010-07,100.286205
M,CA,628,2010-08,100.200343
M,CA,628,2010-09,100.372066
M,CA,628,2010-10,100.801374
M,CA,628,2010-11,100.887235
M,CA,628,2010-12,100.887235
M,CA,628,2011-01,101.14482
M,CA,628,2011-02,101.402404
M,CA,628,2011-03,102.518603
M,CA,628,2011-04,102.862049
M,CA,628,2011-05,103.548941
M,CA,628,2011-06,102.862049
M,CA,628,2011-07,103.033772
M,CA,628,2011-08,103.291357
M,CA,628,2011-09,103.548941
M,CA,628,2011-10,103.720664
M,CA,628,2011-11,103.806525
M,CA,628,2011-12,103.205495
M,CA,628,2012-01,103.634803
M,CA,628,2012-02,104.06411
M,CA,628,2012-03,104.493417
M,CA,628,2012-04,104.922725
M,CA,628,2012-05,104.836863
M,CA,628,2012-06,104.407556
M,CA,628,2012-07,104.321694
M,CA,628,2012-08,104.579279
M,CA,628,2012-09,104.751002
M,CA,628,2012-10,104.922725
M,CA,628,2012-11,104.66514
M,CA,628,2012-12,104.06411
M,CA,628,2013-01,104.149971
M,CA,628,2013-02,105.352032
M,CA,628,2013-03,105.523755
M,CA,628,2013-04,105.352032
M,CA,628,2013-05,105.609616
M,CA,628,2013-06,105.609616
M,CA,628,2013-07,105.695478
M,CA,628,2013-08,105.695478
M,CA,628,2013-09,105.867201
M,CA,628,2013-10,105.609616
M,CA,628,2013-11,105.609616
M,CA,628,2013-12,105.352032
M,CA,628,2014-01,105.695478
M,CA,628,2014-02,106.554093
M,CA,628,2014-03,107.155123
M,CA,628,2014-04,107.498569
M,CA,628,2014-05,108.013738
M,CA,628,2014-06,108.099599
M,CA,628,2014-07,107.927876
M,CA,628,2014-08,107.927876
M,CA,628,2014-09,108.013738
M,CA,628,2014-10,108.099599
M,CA,628,2014-11,107.670292
M,CA,628,2014-12,106.897539
M,CA,628,2015-01,106.725816
M,CA,628,2015-02,107.670292
M,CA,628,2015-03,108.443045
M,CA,628,2015-04,108.357184
M,CA,628,2015-05,108.958214
M,CA,628,2015-06,109.215799
M,CA,628,2015-07,109.30166
M,CA,628,2015-08,109.30166
M,CA,628,2015-09,109.129937
M,CA,628,2015-10,109.215799
M,CA,628,2015-11,109.129937
M,CA,628,2015-12,108.614768
M,CA,628,2016-01,108.872353
M,CA,628,2016-02,109.129937
M,CA,628,2016-03,109.816829
M,CA,628,2016-04,110.160275
M,CA,628,2016-05,110.589582
M,CA,628,2016-06,110.847167
M,CA,628,2016-07,110.675444
M,CA,628,2016-08,110.503721
M,CA,628,2016-09,110.589582
M,CA,628,2016-10,110.847167
M,CA,628,2016-11,110.417859
M,CA,628,2016-12,110.246136
M,CA,628,2017-01,111.190612
M,CA,628,2017-02,111.362335
M,CA,628,2017-03,111.534058
M,CA,628,2017-04,111.963366
M,CA,628,2017-05,112.049227
M,CA,628,2017-06,111.963366
M,CA,628,2017-07,111.963366
M,CA,628,2017-08,112.049227
M,CA,628,2017-09,112.306812
M,CA,628,2017-10,112.392673
M,CA,628,2017-11,112.736119
M,CA,628,2017-12,112.306812
M,CA,628,2018-01,113.079565
M,CA,628,2018-02,113.766457
M,CA,628,2018-03,114.109903
M,CA,628,2018-04,114.453349
M,CA,628,2018-05,114.53921
M,CA,628,2018-06,114.710933
M,CA,628,2018-07,115.311963
M,CA,628,2018-08,115.226102
M,CA,628,2018-09,114.796795
M,CA,628,2018-10,115.14024
M,CA,628,2018-11,114.625072
M,CA,628,2018-12,114.53921
M,CA,628,2019-01,114.710933
M,CA,628,2019-02,115.483686
M,CA,628,2019-03,116.25644
M,CA,628,2019-04,116.771608
M,CA,628,2019-05,117.286777
M,CA,628,2019-06,117.029193
M,CA,628,2019-07,117.630223
M,CA,628,2019-08,117.4585
M,CA,628,2019-09,116.943331
M,CA,628,2019-10,117.286777
M,CA,628,2019-11,117.115054
M,CA,628,2019-12,117.115054
M,CA,628,2020-01,117.4585
M,CA,628,2020-02,117.973669
M,CA,628,2020-03,117.286777
M,CA,628,2020-04,116.514024
M,CA,628,2020-05,116.85747
M,CA,628,2020-06,117.801946
M,CA,628,2020-07,117.801946
M,CA,628,2020-08,117.630223
M,CA,628,2020-09,117.544362
M,CA,628,2020-10,118.059531
M,CA,628,2020-11,118.231254
M,CA,628,2020-12,117.973669
M,CA,628,2021-01,118.660561
M,CA,628,2021-02,119.261591
M,CA,628,2021-03,119.862622
M,CA,628,2021-04,120.463652
M,CA,628,2021-05,121.064682
M,CA,628,2021-06,121.408128
M,CA,628,2021-07,122.180882
M,CA,628,2021-08,122.438466
M,CA,628,2021-09,122.69605
M,CA,628,2021-10,123.554665
M,CA,628,2021-11,123.81225
M,CA,628,2021-12,123.640527
M,CA,628,2022-01,124.756726
M,CA,628,2022-02,126.044648
M,CA,628,2022-03,127.847739
M,CA,628,2022-04,128.620492
M,CA,628,2022-05,130.423583
M,CA,628,2022-06,131.282198
M,CA,628,2022-07,131.453921
M,CA,628,2022-08,131.024614
M,CA,628,2022-09,131.110475
M,CA,628,2022-10,132.054951
M,CA,628,2022-11,132.226674
M,CA,628,2022-12,131.453921
M,CA,628,2023-01,132.140813
M,CA,628,2023-02,132.655982
M,CA,628,2023-03,133.342873
M,CA,628,2023-04,134.28735
M,CA,628,2023-05,134.802519
M,CA,628,2023-06,134.974242
M,CA,628,2023-07,135.746995
M,CA,628,2023-08,136.262164
M,CA,628,2023-09,136.090441
M,CA,628,2023-10,136.176302
M,CA,628,2023-11,136.348025
M,CA,628,2023-12,135.918718
M,CA,628,2024-01,135.918718
M,CA,628,2024-02,136.348025
M,CA,628,2024-03,137.20664
M,CA,628,2024-04,137.893532
M,CA,628,2024-05,138.666285
M,CA,628,2024-06,138.580424
M,CA,628,2024-07,139.181454
M,CA,628,2024-08,138.923869
M,CA,628,2024-09,138.322839
M,CA,628,2024-10,138.923869
M,CA,628,2024-11,138.923869
M,CA,628,2024-12,138.408701
M,CA,628,2025-01,138.494562
M,CA,628,2025-02,139.954207
M,CA,628,2025-03,140.383515
M,CA,628,2025-04,140.297653
M,CA,628,2025-05,141.070406
M,CA,628,2025-06,141.156268
M,CA,628,2025-07,141.585575
M,CA,628,2025-08,141.499714
M,CA,628,2025-09,141.585575
M,CA,628,2025-10,141.929021
M,CA,628,2025-11,142.014883
M,CA,628,2025-12,141.671437
M,US,628,2007-01,92.827743
M,US,628,2007-02,93.324406
M,US,628,2007-03,94.17419
M,US,628,2007-04,94.78596
M,US,628,2007-05,95.365171
M,US,628,2007-06,95.549986
M,US,628,2007-07,95.52568
M,US,628,2007-08,95.350496
M,US,628,2007-09,95.613273
M,US,628,2007-10,95.817808
M,US,628,2007-11,96.386929
M,US,628,2007-12,96.322267
M,US,628,2008-01,96.801044
M,US,628,2008-02,97.082165
M,US,628,2008-03,97.923694
M,US,628,2008-04,98.517579
M,US,628,2008-05,99.347185
M,US,628,2008-06,100.348306
M,US,628,2008-07,100.875236
M,US,628,2008-08,100.472586
M,US,628,2008-09,100.333631
M,US,628,2008-10,99.320127
M,US,628,2008-11,97.417859
M,US,628,2008-12,96.410318
M,US,628,2009-01,96.829935
M,US,628,2009-02,97.311464
M,US,628,2009-03,97.548101
M,US,628,2009-04,97.791617
M,US,628,2009-05,98.074114
M,US,628,2009-06,98.91656
M,US,628,2009-07,98.759719
M,US,628,2009-08,98.981223
M,US,628,2009-09,99.043134
M,US,628,2009-10,99.138522
M,US,628,2009-11,99.208688
M,US,628,2009-12,99.033962
M,US,628,2010-01,99.372407
M,US,628,2010-02,99.397172
M,US,628,2010-03,99.805325
M,US,628,2010-04,99.978675
M,US,628,2010-05,100.056178
M,US,628,2010-06,99.958497
M,US,628,2010-07,99.979592
M,US,628,2010-08,100.117631
M,US,628,2010-09,100.175873
M,US,628,2010-10,100.300612
M,US,628,2010-11,100.342803
M,US,628,2010-12,100.515236
M,US,628,2011-01,100.994013
M,US,628,2011-02,101.492051
M,US,628,2011-03,102.481708
M,US,628,2011-04,103.141631
M,US,628,2011-05,103.626829
M,US,628,2011-06,103.515848
M,US,628,2011-07,103.607568
M,US,628,2011-08,103.893275
M,US,628,2011-09,104.051033
M,US,628,2011-10,103.836409
M,US,628,2011-11,103.748816
M,US,628,2011-12,103.492918
M,US,628,2012-01,103.948307
M,US,628,2012-02,104.405988
M,US,628,2012-03,105.198906
M,US,628,2012-04,105.516715
M,US,628,2012-05,105.392893
M,US,628,2012-06,105.238345
M,US,628,2012-07,105.066829
M,US,628,2012-08,105.651543
M,US,628,2012-09,106.122982
M,US,628,2012-10,106.081709
M,US,628,2012-11,105.579084
M,US,628,2012-12,105.294753
M,US,628,2013-01,105.606142
M,US,628,2013-02,106.471059
M,US,628,2013-03,106.749428
M,US,628,2013-04,106.638448
M,US,628,2013-05,106.828307
M,US,628,2013-06,107.084664
M,US,628,2013-07,107.126855
M,US,628,2013-08,107.255722
M,US,628,2013-09,107.38046
M,US,628,2013-10,107.103925
M,US,628,2013-11,106.885174
M,US,628,2013-12,106.876002
M,US,628,2014-01,107.273607
M,US,628,2014-02,107.670295
M,US,628,2014-03,108.363696
M,US,628,2014-04,108.720945
M,US,628,2014-05,109.100665
M,US,628,2014-06,109.303824
M,US,628,2014-07,109.261174
M,US,628,2014-08,109.078652
M,US,628,2014-09,109.160741
M,US,628,2014-10,108.886499
M,US,628,2014-11,108.298575
M,US,628,2014-12,107.684512
M,US,628,2015-01,107.17776
M,US,628,2015-02,107.643238
M,US,628,2015-03,108.2839
M,US,628,2015-04,108.504028
M,US,628,2015-05,109.057098
M,US,628,2015-06,109.439111
M,US,628,2015-07,109.446448
M,US,628,2015-08,109.291442
M,US,628,2015-09,109.121302
M,US,628,2015-10,109.072232
M,US,628,2015-11,108.842015
M,US,628,2015-12,108.470091
M,US,628,2016-01,108.649403
M,US,628,2016-02,108.73883
M,US,628,2016-03,109.20706
M,US,628,2016-04,109.724818
M,US,628,2016-05,110.168741
M,US,628,2016-06,110.530576
M,US,628,2016-07,110.351722
M,US,628,2016-08,110.453073
M,US,628,2016-09,110.718601
M,US,628,2016-10,110.85664
M,US,628,2016-11,110.684207
M,US,628,2016-12,110.720436
M,US,628,2017-01,111.365684
M,US,628,2017-02,111.716054
M,US,628,2017-03,111.806857
M,US,628,2017-04,112.138423
M,US,628,2017-05,112.234271
M,US,628,2017-06,112.33608
M,US,628,2017-07,112.258576
M,US,628,2017-08,112.594729
M,US,628,2017-09,113.190908
M,US,628,2017-10,113.119366
M,US,628,2017-11,113.122118
M,US,628,2017-12,113.055621
M,US,628,2018-01,113.671519
M,US,628,2018-02,114.186985
M,US,628,2018-03,114.445176
M,US,628,2018-04,114.900106
M,US,628,2018-05,115.377966
