FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE
Q,IT,G,A,M,770,A,2024-Q3,135.7
Q,IT,G,A,M,770,A,2024-Q4,135.2
Q,IT,G,A,M,770,A,2025-Q1,136.4
Q,IT,G,A,M,770,A,2025-Q2,139.0
Q,FR,G,A,M,770,A,2007-Q1,69.2
Q,FR,G,A,M,770,A,2007-Q2,68.6
Q,FR,G,A,M,770,A,2007-Q3,68.5
Q,FR,G,A,M,770,A,2007-Q4,67.0
Q,FR,G,A,M,770,A,2008-Q1,69.0
Q,FR,G,A,M,770,A,2008-Q2,67.8
Q,FR,G,A,M,770,A,2008-Q3,69.5
Q,FR,G,A,M,770,A,2008-Q4,73.8
Q,FR,G,A,M,770,A,2009-Q1,78.9
Q,FR,G,A,M,770,A,2009-Q2,83.6
Q,FR,G,A,M,770,A,2009-Q3,87.4
Q,FR,G,A,M,770,A,2009-Q4,88.4
Q,FR,G,A,M,770,A,2010-Q1,91.6
Q,FR,G,A,M,770,A,2010-Q2,94.9
Q,FR,G,A,M,770,A,2010-Q3,94.0
Q,FR,G,A,M,770,A,2010-Q4,91.7
Q,FR,G,A,M,770,A,2011-Q1,91.6
Q,FR,G,A,M,770,A,2011-Q2,93.3
Q,FR,G,A,M,770,A,2011-Q3,95.4
Q,FR,G,A,M,770,A,2011-Q4,94.3
Q,FR,G,A,M,770,A,2012-Q1,97.9
Q,FR,G,A,M,770,A,2012-Q2,99.7
Q,FR,G,A,M,770,A,2012-Q3,100.8
Q,FR,G,A,M,770,A,2012-Q4,101.9
Q,FR,G,A,M,770,A,2013-Q1,103.1
Q,FR,G,A,M,770,A,2013-Q2,102.7
Q,FR,G,A,M,770,A,2013-Q3,101.8
Q,FR,G,A,M,770,A,2013-Q4,101.7
Q,FR,G,A,M,770,A,2014-Q1,104.9
Q,FR,G,A,M,770,A,2014-Q2,107.0
Q,FR,G,A,M,770,A,2014-Q3,108.7
Q,FR,G,A,M,770,A,2014-Q4,109.3
Q,FR,G,A,M,770,A,2015-Q1,114.8
Q,FR,G,A,M,770,A,2015-Q2,110.2
Q,FR,G,A,M,770,A,2015-Q3,110.9
Q,FR,G,A,M,770,A,2015-Q4,109.5
Q,FR,G,A,M,770,A,2016-Q1,114.4
Q,FR,G,A,M,770,A,2016-Q2,116.7
Q,FR,G,A,M,770,A,2016-Q3,116.5
Q,FR,G,A,M,770,A,2016-Q4,112.4
Q,FR,G,A,M,770,A,2017-Q1,113.0
Q,FR,G,A,M,770,A,2017-Q2,113.4
Q,FR,G,A,M,770,A,2017-Q3,112.8
Q,FR,G,A,M,770,A,2017-Q4,111.0
Q,FR,G,A,M,770,A,2018-Q1,111.8
Q,FR,G,A,M,770,A,2018-Q2,111.8
Q,FR,G,A,M,770,A,2018-Q3,111.0
Q,FR,G,A,M,770,A,2018-Q4,109.7
Q,FR,G,A,M,770,A,2019-Q1,112.9
Q,FR,G,A,M,770,A,2019-Q2,113.8
Q,FR,G,A,M,770,A,2019-Q3,115.4
Q,FR,G,A,M,770,A,2019-Q4,112.0
