FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE
Q,IT,H,A,M,770,A,2007-Q1,36.1
Q,IT,H,A,M,770,A,2007-Q2,36.9
Q,IT,H,A,M,770,A,2007-Q3,37.3
Q,IT,H,A,M,770,A,2007-Q4,37.9
Q,IT,H,A,M,770,A,2008-Q1,38.0
Q,IT,H,A,M,770,A,2008-Q2,38.4
Q,IT,H,A,M,770,A,2008-Q3,38.5
Q,IT,H,A,M,770,A,2008-Q4,38.8
Q,IT,H,A,M,770,A,2009-Q1,39.6
Q,IT,H,A,M,770,A,2009-Q2,41.0
Q,IT,H,A,M,770,A,2009-Q3,41.6
Q,IT,H,A,M,770,A,2009-Q4,42.2
Q,IT,H,A,M,770,A,2010-Q1,42.6
Q,IT,H,A,M,770,A,2010-Q2,43.1
Q,IT,H,A,M,770,A,2010-Q3,43.2
Q,IT,H,A,M,770,A,2010-Q4,43.3
Q,IT,H,A,M,770,A,2011-Q1,43.2
Q,IT,H,A,M,770,A,2011-Q2,43.4
Q,IT,H,A,M,770,A,2011-Q3,43.4
Q,IT,H,A,M,770,A,2011-Q4,43.3
Q,IT,H,A,M,770,A,2012-Q1,43.1
Q,IT,H,A,M,770,A,2012-Q2,43.3
Q,IT,H,A,M,770,A,2012-Q3,43.3
Q,IT,H,A,M,770,A,2012-Q4,43.4
Q,IT,H,A,M,770,A,2013-Q1,43.4
Q,IT,H,A,M,770,A,2013-Q2,43.4
Q,IT,H,A,M,770,A,2013-Q3,43.2
Q,IT,H,A,M,770,A,2013-Q4,43.0
Q,IT,H,A,M,770,A,2014-Q1,42.7
Q,IT,H,A,M,770,A,2014-Q2,42.7
Q,IT,H,A,M,770,A,2014-Q3,42.3
Q,IT,H,A,M,770,A,2014-Q4,42.3
Q,IT,H,A,M,770,A,2015-Q1,42.1
Q,IT,H,A,M,770,A,2015-Q2,42.0
Q,IT,H,A,M,770,A,2015-Q3,41.8
Q,IT,H,A,M,770,A,2015-Q4,41.6
Q,IT,H,A,M,770,A,2016-Q1,41.5
Q,IT,H,A,M,770,A,2016-Q2,41.4
Q,IT,H,A,M,770,A,2016-Q3,41.2
Q,IT,H,A,M,770,A,2016-Q4,41.1
Q,IT,H,A,M,770,A,2017-Q1,41.0
Q,IT,H,A,M,770,A,2017-Q2,40.8
Q,IT,H,A,M,770,A,2017-Q3,40.7
Q,IT,H,A,M,770,A,2017-Q4,40.7
Q,IT,H,A,M,770,A,2018-Q1,40.4
Q,IT,H,A,M,770,A,2018-Q2,40.8
Q,IT,H,A,M,770,A,2018-Q3,40.7
Q,IT,H,A,M,770,A,2018-Q4,40.8
Q,IT,H,A,M,770,A,2019-Q1,40.8
Q,IT,H,A,M,770,A,2019-Q2,41.0
Q,IT,H,A,M,770,A,2019-Q3,41.0
Q,IT,H,A,M,770,A,2019-Q4,41.1
Q,IT,H,A,M,770,A,2020-Q1,41.4
Q,IT,H,A,M,770,A,2020-Q2,43.4
Q,IT,H,A,M,770,A,2020-Q3,44.2
Q,IT,H,A,M,770,A,2020-Q4,44.9
Q,IT,H,A,M,770,A,2021-Q1,44.9
Q,IT,H,A,M,770,A,2021-Q2,43.4
Q,IT,H,A,M,770,A,2021-Q3,42.7
Q,IT,H,A,M,770,A,2021-Q4,42.2
Q,IT,H,A,M,770,A,2022-Q1,41.5
Q,IT,H,A,M,770,A,2022-Q2,41.0
Q,IT,H,A,M,770,A,2022-Q3,40.5
Q,IT,H,A,M,770,A,2022-Q4,40.0
Q,IT,H,A,M,770,A,2023-Q1,39.0
Q,IT,H,A,M,770,A,2023-Q2,38.2
Q,IT,H,A,M,770,A,2023-Q3,37.5
Q,IT,H,A,M,770,A,2023-Q4,36.9
Q,IT,H,A,M,770,A,2024-Q1,36.4
Q,IT,H,A,M,770,A,2024-Q2,36.2
Q,IT,H,A,M,770,A,2024-Q3,36.0
Q,IT,H,A,M,770,A,2024-Q4,36.0
Q,IT,H,A,M,770,A,2025-Q1,35.9
Q,IT,H,A,M,770,A,2025-Q2,35.9
Q,DE,H,A,M,770,A,2007-Q1,62.8
Q,DE,H,A,M,770,A,2007-Q2,62.0
Q,DE,H,A,M,770,A,2007-Q3,61.2
Q,DE,H,A,M,770,A,2007-Q4,60.4
Q,DE,H,A,M,770,A,2008-Q1,59.4
Q,DE,H,A,M,770,A,2008-Q2,59.1
Q,DE,H,A,M,770,A,2008-Q3,58.9
Q,DE,H,A,M,770,A,2008-Q4,58.8
Q,DE,H,A,M,770,A,2009-Q1,59.3
Q,DE,H,A,M,770,A,2009-Q2,60.2
Q,DE,H,A,M,770,A,2009-Q3,60.9
Q,DE,H,A,M,770,A,2009-Q4,60.9
Q,DE,H,A,M,770,A,2010-Q1,60.2
Q,DE,H,A,M,770,A,2010-Q2,59.7
Q,DE,H,A,M,770,A,2010-Q3,59.1
Q,DE,H,A,M,770,A,2010-Q4,58.4
Q,DE,H,A,M,770,A,2011-Q1,57.3
Q,DE,H,A,M,770,A,2011-Q2,56.7
Q,DE,H,A,M,770,A,2011-Q3,56.5
Q,DE,H,A,M,770,A,2011-Q4,56.1
Q,DE,H,A,M,770,A,2012-Q1,55.7
Q,DE,H,A,M,770,A,2012-Q2,55.6
Q,DE,H,A,M,770,A,2012-Q3,55.6
Q,DE,H,A,M,770,A,2012-Q4,55.5
Q,DE,H,A,M,770,A,2013-Q1,55.1
Q,DE,H,A,M,770,A,2013-Q2,55.0
Q,DE,H,A,M,770,A,2013-Q3,54.9
