FREQ,EER_TYPE,EER_BASKET,REF_AREA,TIME_PERIOD,OBS_VALUE
M,R,N,IT,2023-05,100.66
M,R,N,IT,2023-06,100.33
M,R,N,IT,2023-07,100.42
M,R,N,IT,2023-08,100.21
M,R,N,IT,2023-09,99.98
M,R,N,IT,2023-10,99.56
M,R,N,IT,2023-11,99.73
M,R,N,IT,2023-12,99.6
M,R,N,IT,2024-01,99.82
M,R,N,IT,2024-02,99.26
M,R,N,IT,2024-03,99.08
M,R,N,IT,2024-04,98.76
M,R,N,IT,2024-05,99.06
M,R,N,IT,2024-06,98.9
M,R,N,IT,2024-07,99.29
M,R,N,IT,2024-08,99.38
M,R,N,IT,2024-09,99.44
M,R,N,IT,2024-10,98.89
M,R,N,IT,2024-11,98.57
M,R,N,IT,2024-12,98.11
M,R,N,IT,2025-01,98.48
M,R,N,IT,2025-02,98.17
M,R,N,IT,2025-03,99.08
M,R,N,IT,2025-04,99.45
M,R,N,IT,2025-05,99.13
M,R,N,IT,2025-06,99.46
M,R,N,IT,2025-07,100.02
M,R,N,IT,2025-08,99.98
M,R,N,IT,2025-09,100.03
M,R,N,IT,2025-10,99.41
M,R,N,IT,2025-11,99.36
M,R,N,IT,2025-12,99.66
M,R,N,IT,2026-01,99.95
M,R,N,US,2007-01,82.41
M,R,N,US,2007-02,82.47
M,R,N,US,2007-03,82.32
M,R,N,US,2007-04,81.32
M,R,N,US,2007-05,81.08
M,R,N,US,2007-06,81.08
M,R,N,US,2007-07,79.91
M,R,N,US,2007-08,79.9
M,R,N,US,2007-09,78.61
M,R,N,US,2007-10,76.7
M,R,N,US,2007-11,75.47
M,R,N,US,2007-12,76.4
M,R,N,US,2008-01,76.45
M,R,N,US,2008-02,75.84
M,R,N,US,2008-03,74.11
M,R,N,US,2008-04,74.05
M,R,N,US,2008-05,74.63
M,R,N,US,2008-06,75.32
M,R,N,US,2008-07,74.93
M,R,N,US,2008-08,76.98
M,R,N,US,2008-09,78.93
M,R,N,US,2008-10,84.78
M,R,N,US,2008-11,86.09
M,R,N,US,2008-12,84.08
M,R,N,US,2009-01,85.44
M,R,N,US,2009-02,88.28
M,R,N,US,2009-03,88.79
M,R,N,US,2009-04,86.06
M,R,N,US,2009-05,82.92
M,R,N,US,2009-06,82.31
M,R,N,US,2009-07,82.0
M,R,N,US,2009-08,80.53
M,R,N,US,2009-09,79.8
M,R,N,US,2009-10,78.44
M,R,N,US,2009-11,77.83
M,R,N,US,2009-12,77.98
M,R,N,US,2010-01,78.54
M,R,N,US,2010-02,79.77
M,R,N,US,2010-03,79.07
M,R,N,US,2010-04,78.69
M,R,N,US,2010-05,81.83
M,R,N,US,2010-06,82.5
M,R,N,US,2010-07,80.87
M,R,N,US,2010-08,79.94
M,R,N,US,2010-09,79.07
M,R,N,US,2010-10,76.07
M,R,N,US,2010-11,76.23
M,R,N,US,2010-12,77.01
M,R,N,US,2011-01,76.23
M,R,N,US,2011-02,75.59
M,R,N,US,2011-03,74.9
M,R,N,US,2011-04,73.71
M,R,N,US,2011-05,73.88
M,R,N,US,2011-06,74.06
M,R,N,US,2011-07,73.55
M,R,N,US,2011-08,74.19
