STRUCTURE,STRUCTURE_ID,ACTION,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2011-Q1,1.879466227
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2010-Q4,2.631978828
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2010-Q3,2.598228703
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2010-Q2,2.242342985
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2010-Q1,2.236853411
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2009-Q4,2.808304928
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2009-Q3,1.554479147
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2025-Q4,1.101220999
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2025-Q3,0.920823388
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2025-Q2,0.768295656
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2025-Q1,0.657023505
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2024-Q4,1.918241379
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2024-Q4,0.673117582
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2024-Q3,1.11933276
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2024-Q3,1.310481086
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2024-Q2,0.839604868
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2024-Q2,0.971021754
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2024-Q1,0.289028244
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2023-Q4,-0.462967668
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,CHN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2023-Q4,5.3
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,CHN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2023-Q3,5.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2023-Q3,2.140595681
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2023-Q3,1.328377513
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD(1.1),I,Q,Y,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2023-Q2,2.096692237
