STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2025-02,4.0676862
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2025-01,4.1237848
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2024-12,3.9883689
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2024-11,3.9272053
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2024-10,4.0876151
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2024-09,4.0183225
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2024-08,4.1310202
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2024-07,4.2055368
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2024-06,4.0367717
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2024-05,3.9999312
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2024-04,4.1098344
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2010-03,5.4225123
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2023-09,3.5607895
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2023-08,3.6827022
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2023-07,3.7213016
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2023-06,3.5214186
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2023-05,3.5842663
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2009-03,5.7112219
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2011-08,5.2702674
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2011-07,5.0924778
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2011-06,4.9167129
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2011-05,5.0132383
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2011-04,4.959505
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2011-03,4.9263338
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2011-02,4.9714464
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2011-01,5.0044878
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2010-12,4.8769527
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2010-11,5.1089485
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2010-10,5.2847575
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,AUS,M,UNEMP,PT_LF,_T,Y,_Z,2010-09,5.0544516
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2009-08,8.7
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2009-05,8.7
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2009-03,8.4
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2021-03,7.7
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2020-11,8.6
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2020-09,9.1
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2020-08,10.1
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2020-07,10.9
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2020-06,12.6
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2020-05,14.2
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2020-04,13.7
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2020-03,8.5
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2020-02,5.8
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2019-08,5.7
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2019-07,5.7
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2019-05,5.5
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2019-03,5.8
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2018-12,5.6
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,CAN,M,UNEMP,PT_LF,_T,Y,_Z,2018-10,5.6
