FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,CG_DTYPE,TIME_PERIOD,OBS_VALUE
Q,CA,P,A,C,2008-Q4,5.1
Q,CA,P,A,C,2009-Q1,7.9
Q,CA,P,A,C,2009-Q2,12.4
Q,CA,P,A,C,2009-Q3,16.1
Q,CA,P,A,C,2009-Q4,16.2
Q,CA,P,A,C,2010-Q1,13.6
Q,CA,P,A,C,2010-Q2,12.6
Q,CA,P,A,C,2010-Q3,10.2
Q,CA,P,A,C,2010-Q4,8.2
Q,CA,P,A,C,2011-Q1,7.6
Q,CA,P,A,C,2011-Q2,6.6
Q,CA,P,A,C,2011-Q3,6.9
Q,CA,P,A,C,2011-Q4,3.9
Q,CA,P,A,C,2012-Q1,3.6
Q,CA,P,A,C,2012-Q2,4.5
Q,CA,P,A,C,2012-Q3,5.5
Q,CA,P,A,C,2012-Q4,5.7
Q,CA,P,A,C,2013-Q1,6.9
Q,CA,P,A,C,2013-Q2,8.0
Q,CA,P,A,C,2013-Q3,7.7
Q,CA,P,A,C,2013-Q4,6.9
Q,CA,P,A,C,2014-Q1,7.4
Q,CA,P,A,C,2014-Q2,6.7
Q,CA,P,A,C,2014-Q3,7.3
Q,CA,P,A,C,2014-Q4,6.3
Q,CA,P,A,C,2015-Q1,11.1
Q,CA,P,A,C,2015-Q2,12.0
Q,CA,P,A,C,2015-Q3,14.2
Q,CA,P,A,C,2015-Q4,15.3
Q,CA,P,A,C,2016-Q1,13.0
Q,CA,P,A,C,2016-Q2,14.9
Q,CA,P,A,C,2016-Q3,15.4
Q,CA,P,A,C,2016-Q4,13.1
Q,CA,P,A,C,2017-Q1,12.3
Q,CA,P,A,C,2017-Q2,10.5
Q,CA,P,A,C,2017-Q3,8.5
Q,CA,P,A,C,2017-Q4,7.0
Q,CA,P,A,C,2018-Q1,5.9
Q,CA,P,A,C,2018-Q2,6.6
Q,CA,P,A,C,2018-Q3,4.5
Q,CA,P,A,C,2018-Q4,4.3
Q,CA,P,A,C,2019-Q1,3.9
Q,CA,P,A,C,2019-Q2,5.2
Q,CA,P,A,C,2019-Q3,5.5
Q,CA,P,A,C,2019-Q4,4.2
Q,CA,P,A,C,2020-Q1,7.3
Q,CA,P,A,C,2020-Q2,16.8
Q,CA,P,A,C,2020-Q3,18.8
Q,CA,P,A,C,2020-Q4,19.7
Q,CA,P,A,C,2021-Q1,16.2
Q,CA,P,A,C,2021-Q2,8.4
Q,CA,P,A,C,2021-Q3,4.0
Q,CA,P,A,C,2021-Q4,-0.4
Q,CA,P,A,C,2022-Q1,-7.7
Q,CA,P,A,C,2022-Q2,-13.9
Q,CA,P,A,C,2022-Q3,-16.5
Q,CA,P,A,C,2022-Q4,-18.3
Q,CA,P,A,C,2023-Q1,-18.2
Q,CA,P,A,C,2023-Q2,-17.3
Q,CA,P,A,C,2023-Q3,-17.2
Q,CA,P,A,C,2023-Q4,-16.9
Q,CA,P,A,C,2024-Q1,-19.0
Q,CA,P,A,C,2024-Q2,-18.5
Q,CA,P,A,C,2024-Q3,-17.4
Q,CA,P,A,C,2024-Q4,-17.9
Q,CA,P,A,C,2025-Q1,-18.6
Q,CA,P,A,C,2025-Q2,-18.5
Q,CA,P,A,B,2007-Q1,158.5
Q,CA,P,A,B,2007-Q2,158.9
Q,CA,P,A,B,2007-Q3,159.4
Q,CA,P,A,B,2007-Q4,159.9
Q,CA,P,A,B,2008-Q1,160.5
Q,CA,P,A,B,2008-Q2,161.1
Q,CA,P,A,B,2008-Q3,161.6
Q,CA,P,A,B,2008-Q4,162.3
Q,CA,P,A,B,2009-Q1,163.2
Q,CA,P,A,B,2009-Q2,164.3
Q,CA,P,A,B,2009-Q3,165.7
Q,CA,P,A,B,2009-Q4,167.1
Q,CA,P,A,B,2010-Q1,168.4
Q,CA,P,A,B,2010-Q2,169.6
Q,CA,P,A,B,2010-Q3,170.7
Q,CA,P,A,B,2010-Q4,171.8
Q,CA,P,A,B,2011-Q1,172.8
Q,CA,P,A,B,2011-Q2,173.7
Q,CA,P,A,B,2011-Q3,174.7
Q,CA,P,A,B,2011-Q4,175.5
Q,CA,P,A,B,2012-Q1,176.4
Q,CA,P,A,B,2012-Q2,177.2
Q,CA,P,A,B,2012-Q3,178.2
Q,CA,P,A,B,2012-Q4,179.1
Q,CA,P,A,B,2013-Q1,180.2
Q,CA,P,A,B,2013-Q2,181.3
Q,CA,P,A,B,2013-Q3,182.4
Q,CA,P,A,B,2013-Q4,183.5
Q,CA,P,A,B,2014-Q1,184.6
Q,CA,P,A,B,2014-Q2,185.7
Q,CA,P,A,B,2014-Q3,186.8
Q,CA,P,A,B,2014-Q4,187.9
Q,CA,P,A,B,2015-Q1,189.3
Q,CA,P,A,B,2015-Q2,190.7
